shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000072,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:label -> Literal
shape_000073,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,0,0,0.0,0.0,owl:NamedIndividual -> rdfs:label -> Literal
shape_000074,owl:ReflexiveProperty,http://www.w3.org/2002/07/owl#ReflexiveProperty,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,owl:ReflexiveProperty -> rdfs:label -> Resource
shape_000075,owl:TransitiveProperty,http://www.w3.org/2002/07/owl#TransitiveProperty,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,owl:TransitiveProperty -> rdfs:label -> Resource
shape_000076,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,owl:AnnotationProperty -> rdfs:label -> Resource
shape_000077,owl:FunctionalProperty,http://www.w3.org/2002/07/owl#FunctionalProperty,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,owl:FunctionalProperty -> rdfs:label -> Resource
shape_000078,owl:SymmetricProperty,http://www.w3.org/2002/07/owl#SymmetricProperty,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,owl:SymmetricProperty -> rdfs:label -> Resource
shape_000079,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,0,0,0.0,0.0,owl:Ontology -> rdfs:comment -> Literal
shape_000080,orth:Protein,http://purl.org/net/orth#Protein,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,0,0,0.0,0.0,orth:Protein -> rdfs:comment -> Literal
shape_000081,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,0,0,0.0,0.0,owl:ObjectProperty -> rdfs:comment -> Literal
shape_000082,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,0,0,0.0,0.0,owl:Class -> rdfs:comment -> Literal
shape_000083,sio:000750,http://semanticscience.org/resource/SIO_000750,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,0,0,0.0,0.0,sio:000750 -> rdfs:comment -> Literal
shape_000084,owl:FunctionalProperty,http://www.w3.org/2002/07/owl#FunctionalProperty,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,0,0,0.0,0.0,owl:FunctionalProperty -> rdfs:comment -> Literal
shape_000085,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:comment -> Literal
shape_000086,sh:SPARQLExecutable,http://www.w3.org/ns/shacl#SPARQLExecutable,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Resource,Resource,0,0,0.0,0.0,sh:SPARQLExecutable -> rdfs:comment -> Resource
shape_000087,sh:SPARQLSelectExecutable,http://www.w3.org/ns/shacl#SPARQLSelectExecutable,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Resource,Resource,0,0,0.0,0.0,sh:SPARQLSelectExecutable -> rdfs:comment -> Resource
shape_000088,owl:ReflexiveProperty,http://www.w3.org/2002/07/owl#ReflexiveProperty,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Resource,Resource,0,0,0.0,0.0,owl:ReflexiveProperty -> rdfs:comment -> Resource
shape_000089,owl:TransitiveProperty,http://www.w3.org/2002/07/owl#TransitiveProperty,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Resource,Resource,0,0,0.0,0.0,owl:TransitiveProperty -> rdfs:comment -> Resource
shape_000090,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Resource,Resource,0,0,0.0,0.0,owl:AnnotationProperty -> rdfs:comment -> Resource
shape_000091,owl:SymmetricProperty,http://www.w3.org/2002/07/owl#SymmetricProperty,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Resource,Resource,0,0,0.0,0.0,owl:SymmetricProperty -> rdfs:comment -> Resource
shape_000092,sh:SPARQLExecutable,http://www.w3.org/ns/shacl#SPARQLExecutable,sh:select,http://www.w3.org/ns/shacl#select,Literal,Literal,0,0,0.0,0.0,sh:SPARQLExecutable -> sh:select -> Literal
shape_000093,sh:SPARQLSelectExecutable,http://www.w3.org/ns/shacl#SPARQLSelectExecutable,sh:select,http://www.w3.org/ns/shacl#select,Literal,Literal,0,0,0.0,0.0,sh:SPARQLSelectExecutable -> sh:select -> Literal
shape_000094,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:qualifiedCardinality,http://www.w3.org/2002/07/owl#qualifiedCardinality,Literal,Literal,0,0,0.0,0.0,owl:Restriction -> owl:qualifiedCardinality -> Literal
shape_000095,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:maxQualifiedCardinality,http://www.w3.org/2002/07/owl#maxQualifiedCardinality,Literal,Literal,0,0,0.0,0.0,owl:Restriction -> owl:maxQualifiedCardinality -> Literal
shape_000096,uniprot.core:Taxon,http://purl.uniprot.org/core/Taxon,orth:taxRangeId,http://purl.org/net/orth#taxRangeId,Literal,Literal,0,0,0.0,0.0,uniprot.core:Taxon -> orth:taxRangeId -> Literal
shape_000097,orth:TaxonomicRange,http://purl.org/net/orth#TaxonomicRange,orth:taxRangeId,http://purl.org/net/orth#taxRangeId,Literal,Literal,0,0,0.0,0.0,orth:TaxonomicRange -> orth:taxRangeId -> Literal
shape_000098,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:hasValue,http://www.w3.org/2002/07/owl#hasValue,Literal,Literal,0,0,0.0,0.0,owl:Restriction -> owl:hasValue -> Literal
shape_000099,orth:OrthologyDataset,http://purl.org/net/orth#OrthologyDataset,pav:version,http://purl.org/pav/version,Literal,Literal,0,0,0.0,0.0,orth:OrthologyDataset -> pav:version -> Literal
shape_000100,sio:000750,http://semanticscience.org/resource/SIO_000750,pav:version,http://purl.org/pav/version,Literal,Literal,0,0,0.0,0.0,sio:000750 -> pav:version -> Literal
shape_000101,uniprot.core:Taxon,http://purl.uniprot.org/core/Taxon,uniprot.core:mnemonic,http://purl.uniprot.org/core/mnemonic,Literal,Literal,0,0,0.0,0.0,uniprot.core:Taxon -> uniprot.core:mnemonic -> Literal
shape_000102,orth:TaxonomicRange,http://purl.org/net/orth#TaxonomicRange,uniprot.core:mnemonic,http://purl.uniprot.org/core/mnemonic,Literal,Literal,0,0,0.0,0.0,orth:TaxonomicRange -> uniprot.core:mnemonic -> Literal
shape_000103,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Literal,Literal,0,0,0.0,0.0,owl:Class -> rdfs:seeAlso -> Literal
shape_000104,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Literal,Literal,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:seeAlso -> Literal
shape_000105,orth:Protein,http://purl.org/net/orth#Protein,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,orth:Protein -> rdfs:seeAlso -> Resource
shape_000106,orth:OrthologsCluster,http://purl.org/net/orth#OrthologsCluster,dcterms:identifier,http://purl.org/dc/terms/identifier,Literal,Literal,0,0,0.0,0.0,orth:OrthologsCluster -> dcterms:identifier -> Literal
shape_000107,orth:Protein,http://purl.org/net/orth#Protein,dcterms:identifier,http://purl.org/dc/terms/identifier,Literal,Literal,0,0,0.0,0.0,orth:Protein -> dcterms:identifier -> Literal
shape_000108,orth:HierarchicalGeneTree,http://purl.org/net/orth#HierarchicalGeneTree,dcterms:identifier,http://purl.org/dc/terms/identifier,Literal,Literal,0,0,0.0,0.0,orth:HierarchicalGeneTree -> dcterms:identifier -> Literal
shape_000109,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,dcterms:identifier,http://purl.org/dc/terms/identifier,Literal,Literal,0,0,0.0,0.0,uniprot.core:Protein -> dcterms:identifier -> Literal
shape_000110,orth:Gene,http://purl.org/net/orth#Gene,dcterms:identifier,http://purl.org/dc/terms/identifier,Literal,Literal,0,0,0.0,0.0,orth:Gene -> dcterms:identifier -> Literal
shape_000111,ensembl:protein,http://rdf.ebi.ac.uk/resource/ensembl/protein,dcterms:identifier,http://purl.org/dc/terms/identifier,Literal,Literal,0,0,0.0,0.0,ensembl:protein -> dcterms:identifier -> Literal
shape_000112,so:0000673,http://purl.obolibrary.org/obo/SO_0000673,dcterms:identifier,http://purl.org/dc/terms/identifier,Literal,Literal,0,0,0.0,0.0,so:0000673 -> dcterms:identifier -> Literal
shape_000113,uniprot.core:Taxon,http://purl.uniprot.org/core/Taxon,orth:taxRange,http://purl.org/net/orth#taxRange,Literal,Literal,0,0,0.0,0.0,uniprot.core:Taxon -> orth:taxRange -> Literal
shape_000114,orth:TaxonomicRange,http://purl.org/net/orth#TaxonomicRange,orth:taxRange,http://purl.org/net/orth#taxRange,Literal,Literal,0,0,0.0,0.0,orth:TaxonomicRange -> orth:taxRange -> Literal
shape_000115,uniprot.core:Taxon,http://purl.uniprot.org/core/Taxon,uniprot.core:scientificName,http://purl.uniprot.org/core/scientificName,Literal,Literal,0,0,0.0,0.0,uniprot.core:Taxon -> uniprot.core:scientificName -> Literal
shape_000116,orth:TaxonomicRange,http://purl.org/net/orth#TaxonomicRange,uniprot.core:scientificName,http://purl.uniprot.org/core/scientificName,Literal,Literal,0,0,0.0,0.0,orth:TaxonomicRange -> uniprot.core:scientificName -> Literal
shape_000117,owl:ReflexiveProperty,http://www.w3.org/2002/07/owl#ReflexiveProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:ReflexiveProperty -> rdfs:isDefinedBy -> Literal
shape_000118,owl:TransitiveProperty,http://www.w3.org/2002/07/owl#TransitiveProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:TransitiveProperty -> rdfs:isDefinedBy -> Literal
shape_000119,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:ObjectProperty -> rdfs:isDefinedBy -> Literal
shape_000120,uniprot.core:Rank,http://purl.uniprot.org/core/Rank,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,uniprot.core:Rank -> rdfs:isDefinedBy -> Literal
shape_000121,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:Class -> rdfs:isDefinedBy -> Literal
shape_000122,owl:FunctionalProperty,http://www.w3.org/2002/07/owl#FunctionalProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:FunctionalProperty -> rdfs:isDefinedBy -> Literal
shape_000123,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:NamedIndividual -> rdfs:isDefinedBy -> Literal
shape_000124,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:ObjectProperty -> rdfs:isDefinedBy -> Literal
shape_000125,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:Class -> rdfs:isDefinedBy -> Literal
shape_000126,owl:SymmetricProperty,http://www.w3.org/2002/07/owl#SymmetricProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Literal,Literal,0,0,0.0,0.0,owl:SymmetricProperty -> rdfs:isDefinedBy -> Literal
shape_000127,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Resource,Resource,0,0,0.0,0.0,owl:Ontology -> rdfs:isDefinedBy -> Resource
shape_000128,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Resource,Resource,0,0,0.0,0.0,owl:AnnotationProperty -> rdfs:isDefinedBy -> Resource
shape_000129,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Resource,Resource,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:isDefinedBy -> Resource
shape_000130,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:unionOf,http://www.w3.org/2002/07/owl#unionOf,Resource,Resource,0,0,0.0,0.0,owl:Class -> owl:unionOf -> Resource
shape_000131,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,owl:priorVersion,http://www.w3.org/2002/07/owl#priorVersion,Resource,Resource,0,0,0.0,0.0,owl:Ontology -> owl:priorVersion -> Resource
shape_000132,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,owl:imports,http://www.w3.org/2002/07/owl#imports,Resource,Resource,0,0,0.0,0.0,owl:Ontology -> owl:imports -> Resource
shape_000133,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,sh:declare,http://www.w3.org/ns/shacl#declare,Resource,Resource,0,0,0.0,0.0,owl:Ontology -> sh:declare -> Resource
shape_000134,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,example:file_name,http://example.org/file_name,Resource,Resource,0,0,0.0,0.0,owl:Ontology -> example:file_name -> Resource
shape_000135,sh:SPARQLExecutable,http://www.w3.org/ns/shacl#SPARQLExecutable,example:file_name,http://example.org/file_name,Resource,Resource,0,0,0.0,0.0,sh:SPARQLExecutable -> example:file_name -> Resource
shape_000136,sh:SPARQLSelectExecutable,http://www.w3.org/ns/shacl#SPARQLSelectExecutable,example:file_name,http://example.org/file_name,Resource,Resource,0,0,0.0,0.0,sh:SPARQLSelectExecutable -> example:file_name -> Resource
shape_000137,sh:SPARQLExecutable,http://www.w3.org/ns/shacl#SPARQLExecutable,schema:target,https://schema.org/target,Resource,Resource,0,0,0.0,0.0,sh:SPARQLExecutable -> schema:target -> Resource
shape_000138,sh:SPARQLSelectExecutable,http://www.w3.org/ns/shacl#SPARQLSelectExecutable,schema:target,https://schema.org/target,Resource,Resource,0,0,0.0,0.0,sh:SPARQLSelectExecutable -> schema:target -> Resource
shape_000139,sh:SPARQLExecutable,http://www.w3.org/ns/shacl#SPARQLExecutable,sh:prefixes,http://www.w3.org/ns/shacl#prefixes,Resource,Resource,0,0,0.0,0.0,sh:SPARQLExecutable -> sh:prefixes -> Resource
shape_000140,sh:SPARQLSelectExecutable,http://www.w3.org/ns/shacl#SPARQLSelectExecutable,sh:prefixes,http://www.w3.org/ns/shacl#prefixes,Resource,Resource,0,0,0.0,0.0,sh:SPARQLSelectExecutable -> sh:prefixes -> Resource
shape_000141,orth:Protein,http://purl.org/net/orth#Protein,lscr:xrefNCBIRefSeq,http://purl.org/lscr#xrefNCBIRefSeq,Resource,Resource,0,0,0.0,0.0,orth:Protein -> lscr:xrefNCBIRefSeq -> Resource
shape_000142,orth:Protein,http://purl.org/net/orth#Protein,lscr:xrefNCBIProtein,http://purl.org/lscr#xrefNCBIProtein,Resource,Resource,0,0,0.0,0.0,orth:Protein -> lscr:xrefNCBIProtein -> Resource
shape_000143,orth:Protein,http://purl.org/net/orth#Protein,lscr:xrefEMBLSequence,http://purl.org/lscr#xrefEMBLSequence,Resource,Resource,0,0,0.0,0.0,orth:Protein -> lscr:xrefEMBLSequence -> Resource
shape_000144,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Resource,Resource,0,0,0.0,0.0,owl:ObjectProperty -> skos:altLabel -> Resource
shape_000145,owl:Class,http://www.w3.org/2002/07/owl#Class,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Resource,Resource,0,0,0.0,0.0,owl:Class -> skos:altLabel -> Resource
shape_000146,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Resource,Resource,0,0,0.0,0.0,owl:DatatypeProperty -> skos:altLabel -> Resource
shape_000147,owl:SymmetricProperty,http://www.w3.org/2002/07/owl#SymmetricProperty,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Resource,Resource,0,0,0.0,0.0,owl:SymmetricProperty -> skos:altLabel -> Resource
shape_000148,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,skos:example,http://www.w3.org/2004/02/skos/core#example,Resource,Resource,0,0,0.0,0.0,owl:AnnotationProperty -> skos:example -> Resource
shape_000149,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,skos:scopeNote,http://www.w3.org/2004/02/skos/core#scopeNote,Resource,Resource,0,0,0.0,0.0,owl:AnnotationProperty -> skos:scopeNote -> Resource
shape_000150,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,skos:definition,http://www.w3.org/2004/02/skos/core#definition,Resource,Resource,0,0,0.0,0.0,owl:AnnotationProperty -> skos:definition -> Resource
shape_000151,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:intersectionOf,http://www.w3.org/2002/07/owl#intersectionOf,Resource,Resource,0,0,0.0,0.0,owl:Class -> owl:intersectionOf -> Resource
shape_000152,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,owl:versionIRI,http://www.w3.org/2002/07/owl#versionIRI,Resource,Resource,0,0,0.0,0.0,owl:Ontology -> owl:versionIRI -> Resource
shape_000153,orth:Gene,http://purl.org/net/orth#Gene,lscr:xrefNCBIGene,http://purl.org/lscr#xrefNCBIGene,Resource,Resource,0,0,0.0,0.0,orth:Gene -> lscr:xrefNCBIGene -> Resource
shape_000154,so:0000704,http://purl.obolibrary.org/obo/SO_0000704,lscr:xrefNCBIGene,http://purl.org/lscr#xrefNCBIGene,Resource,Resource,0,0,0.0,0.0,so:0000704 -> lscr:xrefNCBIGene -> Resource
shape_000155,orth:Gene,http://purl.org/net/orth#Gene,lscr:xrefEnsemblGene,http://purl.org/lscr#xrefEnsemblGene,Resource,Resource,0,0,0.0,0.0,orth:Gene -> lscr:xrefEnsemblGene -> Resource
shape_000156,so:0000704,http://purl.obolibrary.org/obo/SO_0000704,lscr:xrefEnsemblGene,http://purl.org/lscr#xrefEnsemblGene,Resource,Resource,0,0,0.0,0.0,so:0000704 -> lscr:xrefEnsemblGene -> Resource
shape_000157,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:onDataRange,http://www.w3.org/2002/07/owl#onDataRange,Resource,Resource,0,0,0.0,0.0,owl:Restriction -> owl:onDataRange -> Resource
